genome_ID	OTU	NCBI_ID	novelty_category
Genome15.0	377615	717605	known_strain
Genome14.0	1314	160490	known_strain
Genome11.0	885581	646529	known_strain
Genome24.0	395922	583355	known_strain
Genome12.0	79209	768704	known_strain
Genome18.0	2724	582402	known_strain
Genome17.0	81475	767434	known_strain
Genome16.0	562	595496	known_strain
Genome19.0	316	379731	known_strain
Genome2.0	1718	1310161	known_strain
Genome4.0	2014	2014	known_strain
Genome4.1	2014	446468	known_strain
Genome5.0	133926	633147	known_strain
Genome3.0	392734	926566	known_strain
Genome20.0	54736	1197719	known_strain
Genome6.0	286802	640132	known_strain
Genome23.0	93466	771875	known_strain
Genome9.0	1502	195103	known_strain
Genome7.0	390884	926556	known_strain
Genome13.0	102134	767817	known_strain
Genome10.0	1515	572545	known_strain
Genome10.1	1515	203119	known_strain
Genome8.0	52022	526227	known_strain
Genome22.0	55206	573413	known_strain
